node,out_degree
24cc5544409e5b51c586aecfbd3a8ffb90a5fa2865ebe1237bb66080c65682eb,3
93512fb32f60771b2c9862fec9922e8d828ff70df400c290ec647a95544976c9,4
3ee55ae6ca01f7787a656a323a80b1b8e4006a12b06329867552763ce6a9718d,2
d813314aa1ddfcc091396afee93806c48eb068ef8abc97189b156e46a30ccb51,2
a7e0c8aa53b3fe9016c876af5b2b0ebf3317a8d759f17d259ac62a724307b1b9,2
354459ef7f30606984b29f64466d803d70b88662ee5a1e7278a42cd790688999,2
9edc2bb15387155d5b02ff4e04a23e608776e12f9690f9ed08d6255addfaf248,3
e8b349b003bf28ffa63176ca1d777b08bde1ae0c3ad94b9894ef38fa5f40187a,6
