transaction_hash,spending_transaction_hash,value_spent,z_score,window,mean_volume,std_volume
c018343a510dc6d9273f0620db035776fee4c3026f59772ea9503c62c0933626,48b2211af1c549f7f7c111d69729b72fca80ddd796a5da2da8098d460be4f06b,9999205592.0,6.130752426529471,12-40,71761075.77731244,1619286479.9537287
c2c6ff24f9f382316474cabbce1f9440ec12ac4c48a7e6ebd523aa4945c67075,11ce1aad56dde12bf1d68475401f444277d6ffa12b4840adf064d602dd89baa6,3770789694.0,6.130601066366891,04-00,46599066.735025264,607475610.7841151
cbbd2846abe512163e137cc383ed84f9825288c8784a592b5e1bfe052ff92b1a,b1cbeddba254ef7387d0ced2e06ffbd6bc028f074d605beb6d6756faf9e6c660,2814291940.0,6.1268451735212075,15-00,43172803.54131771,452291360.0681165
cd9ef1c8fcf5d75e984447fafbc9deb6e936de9b00bbf3de2e3948221f726c6b,191616a2f0da6217c2d2973f0e68c7b764f0c86442fe2a417cabe10e7a151ff6,3863527399.0,6.119309979763667,22-20,54898170.930895664,622395211.3333204
211c61c5d4afbe1b027ffcdd89d731b1a8fa741b0636532e7adf10f3234e6478,4295544cb54c241943664f6c06780181222e3c83a059025e868b490dbe486fc1,3461408423.0,6.1106205772660225,03-00,41405538.782122694,559681760.792295
6d3d393175138ac6bf9c4541adca17636491f94241e6056564fdf0884c813cc3,bce7fbdf170b2b6a4256734777e8c3767cad53540d7cd9cc50be4d424ad68afe,2660371250.0,6.104223590962745,22-00,27344044.036312357,431345144.3459351
384d58ee72050c0da47c93194456f3c7b35f320ed7ed3a1b483130a4bb27010b,593b88748f8a6fa95e52d1982745b79635da2fbb4e7d279eb31d6bb6551ff15c,2286016920.0,6.10032819934406,06-20,32830941.89135659,369354878.0458924
158fcf3f104ca174c34ba626e2f8524412adf839ed00d2ebe7847c8e9c0bcf03,95232f50ec3e6fd91aff79644dbd8ff710dfadd32781ad508622d26566bfee00,3695185366.0,6.097542554103595,21-00,37097787.890159406,599928175.2692285
6f35ec863355523db8767fdb4ab543e2c611a6af6da8c012255c71b46100ff8e,faa0fc40da2c4c3798b0102f5989af9050a0f0c0bab52aa508de9dd1df546fe4,3158577266.0,6.096527699103809,21-20,32113097.54478803,512827025.9339268
8049afc66d1adef23c27450ffe880f9a99d7fc32f24dd1be892134422f68105b,e53730fbea36f4016be23eafbd38dfc3213192973bbc48ca4ea78af348baa2a2,3335294940.0,6.094318966552501,06-40,55811931.80617392,538121326.7951086
e53730fbea36f4016be23eafbd38dfc3213192973bbc48ca4ea78af348baa2a2,f9a3b2106910ae3385644964590de25f3ad2e5a292cf441f12a7157d63595eb2,3334367212.0,6.092594953855354,06-40,55811931.80617392,538121326.7951086
f9a3b2106910ae3385644964590de25f3ad2e5a292cf441f12a7157d63595eb2,9ce75843d824ad0392aa340508e435bb96ce29fa08fdb4094b3b869db9968686,3333401684.0,6.090800696776285,06-40,55811931.80617392,538121326.7951086
9ce75843d824ad0392aa340508e435bb96ce29fa08fdb4094b3b869db9968686,88760a05d0252c44ae1773077f84a3dffd12000576cb0d76d77b1ced951258bf,3332456556.0,6.08904434936365,06-40,55811931.80617392,538121326.7951086
88760a05d0252c44ae1773077f84a3dffd12000576cb0d76d77b1ced951258bf,38f7b54b81139772475d3a87b06544ab995d95ca9a4fdf624cced39a95507290,3331481628.0,6.08723262410495,06-40,55811931.80617392,538121326.7951086
bcc5e543c6b7b798ab20026b74439da42b4e508085c69394e56dfd9f9c2ebccb,cd9ef1c8fcf5d75e984447fafbc9deb6e936de9b00bbf3de2e3948221f726c6b,3868922934.0,6.086697671465678,19-40,42472739.88203073,628657837.2466723
38f7b54b81139772475d3a87b06544ab995d95ca9a4fdf624cced39a95507290,237c6d6f5091f735681da9a78c28cb22943eb7e2adde15e8117ef2b9a9c99677,3330487000.0,6.085384290001703,06-40,55811931.80617392,538121326.7951086
237c6d6f5091f735681da9a78c28cb22943eb7e2adde15e8117ef2b9a9c99677,d42e3d8fa9e3e6d8b4f406fcb5c1a941861f95f62a228fe9a4f1b0c8b463cd52,3329574172.0,6.08368796622759,06-40,55811931.80617392,538121326.7951086
d42e3d8fa9e3e6d8b4f406fcb5c1a941861f95f62a228fe9a4f1b0c8b463cd52,b5af012d3d73bbcf8e14efe80120e784ab3f80c3dc849f5809cf77526d8778f2,3328618644.0,6.081912292318342,06-40,55811931.80617392,538121326.7951086
b5af012d3d73bbcf8e14efe80120e784ab3f80c3dc849f5809cf77526d8778f2,3c7e0ffc1de1e08721a74a541c0da6494374404f881798b7feab9171470edd84,3327618716.0,6.08005410913509,06-40,55811931.80617392,538121326.7951086
3c7e0ffc1de1e08721a74a541c0da6494374404f881798b7feab9171470edd84,127b922d86a5bfcf79ae69f7e020428f18bba7132113de2dc9e9068b558882bd,3326689488.0,6.0783273089624705,06-40,55811931.80617392,538121326.7951086
127b922d86a5bfcf79ae69f7e020428f18bba7132113de2dc9e9068b558882bd,915622184382c97e7cfe7c8d1de640e4922f26cfc466c9b73e70508ef99d9950,3325710760.0,6.076508522099238,06-40,55811931.80617392,538121326.7951086
915622184382c97e7cfe7c8d1de640e4922f26cfc466c9b73e70508ef99d9950,449d494621567a5d447f90ebee665cb986839651a21ebecab6402cb301de7869,3324750732.0,6.0747244857635705,06-40,55811931.80617392,538121326.7951086
449d494621567a5d447f90ebee665cb986839651a21ebecab6402cb301de7869,bb0db8f4a0104055a9bef6c65f1687cda5f5661ebcb8795d906ab829468791eb,3323828104.0,6.073009950483033,06-40,55811931.80617392,538121326.7951086
bb0db8f4a0104055a9bef6c65f1687cda5f5661ebcb8795d906ab829468791eb,1c8e3893b4286572e826760c6c859620979d163aaffaff015153c6888646dfc9,3322850776.0,6.071193765263576,06-40,55811931.80617392,538121326.7951086
